Name,Category,Subcategory,Platforms,Function,Radio Interaction,License,Notes
SDR# (SDRSharp) + DDE Tracking / Gpredict plugin,Satellite / EME,Satellite SDR RX Doppler (plugin),Windows,Popular SDR receiver made Doppler-aware via community plugins that follow a tracker.,"Plugin retunes the SDR for Doppler from Orbitron (DDE) or Gpredict (network), correcting the receive frequency during a pass.",Free (plugins open-source),Common cheap RX-only satellite Doppler setup.
SDR++ (SDRPlusPlus),Satellite / EME,Satellite SDR RX Doppler (tracker-driven),"Windows, macOS, Linux, Android",Cross-platform general SDR receiver that can be Doppler-tuned by an external tracker.,Exposes a rigctl server so Gpredict/other trackers retune it for Doppler; controls its own SDR hardware.,Open-source (GPL),Doppler correction achieved via external tracking software.
SkyRoof,Satellite / EME,"Satellite tracking + SDR (Doppler waterfall, rig/rotor)",Windows,VE3NEA open-source app combining satellite tracking with an SDR waterfall showing a Doppler-corrected frequency scale.,Controls an SDR receiver with Doppler-corrected tuning; CAT rig control and rotator support.,Open-source (Free),Newer integrated tracker+SDR aimed at LEO ham sats.
UISS (Universal Interface for Soundcard Satellites),Satellite / EME,Packet/APRS satellite terminal,Windows,"Packet and APRS terminal for satellites (ISS, PSAT, etc.)",Via AGWPE/soundmodem — sound-card audio in/out; PTT via serial/VOX,Free,ON6MU. Popular for ISS packet/APRS digipeater work.
WiSP / WiSP DDE,Satellite / EME,Satellite/Digital-sat groundstation (rig + rotor + TNC),Windows,"AMSAT groundstation suite for tracking, Doppler, and PACSAT store-and-forward (digital) satellite operation.","CAT rig control + rotator via DDE, plus TNC/modem keying for packet/PACSAT birds.","Free (legacy, G7UPN/G6LVB)",Historic go-to for digital/store-and-forward satellites.
WXtrack,Satellite / EME,Satellite/EME (tracking),Windows,Predicts weather and ham satellite passes and drives capture stations,pass scheduling to receivers/decoders; rotor/rig via companions,Free,David Taylor GM8ARV (SatSignal.eu suite)
Zenith,Satellite / EME,"Satellite tracking (web, rig integration)",Web (self-hosted),"Modern web-based satellite tracker for amateur operators with real-time tracking, pass prediction, and radio integration.",Browser/host-side rig integration (Web Serial / rigctld) for Doppler-aware tuning.,Free / Open-source,Self-hostable browser app.
AbracaDABra,SDR,SDR (DAB),Windows / Linux / macOS,DAB/DAB+ SDR receiver with a clean UI,Controls RTL-SDR/Airspy and SoapySDR devices,Open-source (GPL),Petr Kopecký; modern Qt DAB receiver.
Afedri SDR software / SDR-Net,SDR,SDR,Windows,Control/receiver software for Afedri SDR-Net / AFE822x,Controls Afedri hardware over USB/Ethernet; ExtIO module lets HDSDR/SDR# use it,Freeware,"Afedri hardware also works with CuteSDR, Linrad, SdrDx, Zeus, etc."
CubicSDR,SDR,SDR,Windows / macOS / Linux / Raspberry Pi,Cross-platform SDR receiver with multiple demodulators on a wideband waterfall,"Controls any SoapySDR-supported device (RTL, Airspy, HackRF, LimeSDR, SDRplay, etc.) — tune/gain/demod",Open-source (MPL/GPL),Charles Cliffe; SoapySDR-based so it inherits broad hardware support.
cuSDR,SDR,"SDR (HPSDR, legacy)",Windows / Linux,Early openHPSDR console,Controls HPSDR hardware over Ethernet,Open-source (legacy),Hermann DL3HVH; largely historical now.
CuteSDR,SDR,SDR,Windows / Linux / macOS,Reference networked-SDR receiver,"Controls RFSpace SDR-IP / NetSDR over Ethernet (tune, sample-rate)",Open-source,Moe Wheatley AE4JY; codebase reused in many later SDR apps.
DATV-Express,SDR,SDR / DATV (transmit),Windows / Linux,Control/streaming software for DVB-S/S2 digital ATV transmission,drives DATV-Express exciter board or SDR (Pluto/LimeSDR) TX,Free/Open-source,Sets freq/symbol-rate/FEC; 70 MHz-3.4 GHz
Dream,SDR,SDR (DRM),Windows / Linux / macOS,Digital Radio Mondiale receiver/analyzer,Soundcard IQ / ExtIO SDR front-end for the DRM signal,Open-source (GPL),The classic open DRM decoder; often paired with an SDR feeding baseband.
DSDPlus (DSD+),SDR,SDR (digital voice decoder),Windows,"Digital voice decoder (DMR, P25, NXDN, ProVoice, etc.)","With the DSD+ FastLane tools, controls RTL-SDR hardware (via librtlsdr) to tune RF; otherwise takes discriminator/virtual-audio from an SDR app",Donationware,FastLane subscription includes the RF-tuning helper apps (FMPn/FMP).
DSP Radio,SDR,SDR,macOS,Simple Mac App Store SDR receiver,Controls RTL-SDR and soundcard front-ends for AM/FM/SSB/CW,Commercial (low-cost),An easy native macOS entry point to RTL-SDR.
dump1090 / readsb,SDR,SDR (ADS-B),Windows / Linux / macOS / Raspberry Pi,Mode-S / ADS-B (1090 MHz) decoder with web map,Controls an RTL-SDR (and others) — tunes 1090 MHz and demodulates aircraft transponders,Open-source (GPL),"Basis of FlightAware PiAware, tar1090, etc."
dump978,SDR,SDR (ADS-B UAT),Linux / Windows,978 MHz UAT decoder for the US ADS-B UAT link,RTL-SDR,Open-source,FlightAware companion to dump1090 (which is listed)
Elad FDM-SW2,SDR,SDR,Windows (limited macOS/Linux),Control/receiver software for Elad FDM-DUO SDR transceiver and FDM-S receivers with panadapter and wideband recording.,Controls the Elad SDR hardware for RX (and DUO TX/CAT) with I/Q spectrum display; provides CAT to external software.,Free (with Elad hardware),Pairs with the FDM-DUO standalone/SDR hybrid transceiver.
ExpertSDR2,SDR,SDR (transceiver),Windows / Linux / macOS / Android,"Expert Electronics console for SunSDR2/2 Pro/DX, ColibriNANO and MB1","Controls SunSDR hardware over Ethernet/USB — full TX/RX, CAT, remote",Freeware (bundled),Ships with SunSDR/ColibriNANO products.
ExpertSDR2 / ExpertSDR3,SDR,SDR,Windows / macOS / Linux / Android,"Native software for Expert Electronics SunSDR2/DUO/MB1 SDR transceivers with wideband panadapter, multi-RX and remote operation.",Controls the SunSDR hardware over Ethernet for RX/TX/PTT; exposes CAT and virtual audio and supports E-Coder/network remote.,Free software (with SunSDR hardware),ExpertSDR3 is the current generation; ExpertRemote enables Internet operation.
ExpertSDR3,SDR,SDR (transceiver),Windows / Linux / macOS / Android,Newer Expert Electronics SDR suite for SunSDR/MB1 with client-server remote,"Controls SunSDR hardware — TX/RX, panadapter, network remote",Freeware (bundled),Successor generation to ExpertSDR2.
G8JCFSDR,SDR,SDR,Windows,General SDR receiver,Controls SoftRock/SDR-IQ/soundcard front-ends with CAT tuning,Freeware,Peter Carnegie G8JCF.
ghpsdr3-alex / QtRadio (glSDR),SDR,"SDR (HPSDR, distributed)",Linux / Windows / macOS / Android,Distributed HPSDR client-server (dspserver + QtRadio/glSDR clients),dspserver controls HPSDR hardware; clients tune it over the network,Open-source (legacy),Early networked HPSDR ecosystem; largely superseded but still referenced.
GNU Radio / GNU Radio Companion,SDR,SDR (framework),Windows / Linux / macOS,Dataflow signal-processing toolkit for building custom SDR receivers/transmitters,"Source/sink blocks (gr-osmosdr, UHD, SoapySDR) directly control SDR hardware for RX and TX",Open-source (GPL),"The engine under Gqrx, OP25 and countless projects."
Gqrx,SDR,SDR,Linux / macOS / Raspberry Pi,Open-source SDR receiver with panadapter/waterfall and a built-in remote-control (rigctl-compatible) network interface.,Controls SDR receiver hardware; exposes an rigctld-style TCP server and can be driven by/drive Hamlib for frequency control.,Open-source (GPL),By Alexandru Csete OZ9AEC; RX-focused but participates in CAT via Hamlib.
gr-osmosdr (Osmocom source/sink),SDR,SDR (framework block),Windows / Linux / macOS,GNU Radio source/sink block giving unified access to many SDRs,Directly controls RTL/HackRF/BladeRF/Airspy/SoapySDR/USRP for RX/TX inside GNU Radio flowgraphs,Open-source (GPL),The common hardware bridge for GNU Radio apps like Gqrx.
HDSDR,SDR,SDR,Windows,Popular SDR receiver/panadapter program with OmniRig integration for synchronizing to and tuning an external transceiver.,Processes SDR/IF I/Q for spectrum and uses OmniRig CAT to read/set the connected transceiver's frequency and mode.,Free (freeware),Frequently used as a cheap panadapter for IF-tapped HF radios.
ka9q-radio,SDR,SDR (multichannel),Linux / Raspberry Pi,Fast-convolution multichannel SDR that receives many frequencies at once from one device,Controls RTL-SDR/Airspy R2/Airspy HF+/RX888 MkII/FunCube (and optionally SDRplay/BladeRF/HackRF) and multicasts demodulated channels over IP,Open-source (GPL),Phil Karn KA9Q; excels at simultaneous WSPR/FT8 monitoring on modest hardware.
KGKSDR (M0KGK SDR Decoder/Display),SDR,SDR (legacy),Windows,SDR receiver/decoder for SoftRock-class hardware,Soundcard IQ input with CAT tuning of the front-end,Freeware,James (M0KGK); a legacy SoftRock-era receiver.
KISS Konsole,SDR,"SDR (HPSDR, legacy)",Windows,One of the first HPSDR consoles,Controls early HPSDR boards,Freeware (legacy),Phil Covington N8VB; historical HPSDR software.
KiwiSDR,SDR,SDR (web),BeagleBone server + any browser client,0–30 MHz multi-user web SDR with built-in WSPR/FT8/FAX/NAVTEX/HFDL/TDoA decoders,Controls the Kiwi front-end hardware; each browser session tunes an independent channel,Open-source software (GPL) / commercial hardware,John Seamons ZL/KF6VO; the browser UI descends from the original OpenWebRX.
Langstone,SDR,SDR (microwave transceiver),Raspberry Pi,Full SSB/CW/FM/DATV SDR transceiver for microwave bands,controls LimeSDR/PlutoSDR as a transceiver,Open-source,G4EML
linHPSDR,SDR,SDR,Linux,Linux SDR console for HPSDR/ANAN transceivers with spectrum display and multi-receiver support.,Operates the SDR hardware for RX/TX and exposes control/audio interfaces.,Open-source (GPL),Also by G0ORX; the desktop-Linux sibling of piHPSDR.
Maia SDR,SDR,SDR (web/FPGA),ADALM-Pluto firmware + browser client,Open FPGA SDR with real-time waterfall (up to 61.44 Msps) and a WebSDR-like browser UI,Runs on the Pluto and controls its AD936x front-end (RX; IQ recording),Open-source,Daniel Estévez EA4GPZ; promotes open FPGA+SDR development.
MiniTioune,SDR,SDR / DATV (receive),Windows,"Receive and decode DVB-S/S2 digital ATV, including QO-100 RB-TV, via a MiniTiouner tuner",USB control of MiniTiouner NIM tuner (it is the DATV receiver),Free,F6DZP; large ham DATV community; digital ATV absent from the list
OpenHPSDR-PowerSDR (mRX PS),SDR,SDR (HPSDR transceiver),Windows,Community fork of PowerSDR for openHPSDR / ANAN radios,"Controls HPSDR/ANAN over Ethernet (Protocol 1) with full RX/TX, PTT and CAT",Open-source (GPL),Predecessor lineage to Thetis; still run on many ANAN stations.
OpenWebRX+,SDR,SDR (web),Linux / Raspberry Pi (server) + browser,Community fork of OpenWebRX with additional decoders and UI features,Same hardware control as OpenWebRX (RTL/Airspy/SDRplay/HackRF),Open-source (GPL),Adds modes like more digital decoders and enhanced maps.
Perseus software,SDR,SDR,Windows,Microtelecom Perseus HF SDR receiver application,"Controls the Perseus over USB — tuning, wideband IQ recording",Freeware (bundled),Perseus is a benchmark HF SDR; the app is prized for spectrum recording.
PhantomSDR / PhantomSDR-Plus,SDR,SDR (web),Linux server + browser,Wideband web SDR backend able to sample the whole HF band,Controls RX888 MkII and other wideband SDRs; browser clients tune independent channels,Open-source (AGPL),Handles hundreds–thousands of concurrent users on capable hardware.
piHPSDR,SDR,SDR,Raspberry Pi / Linux,"Compact standalone SDR console for HPSDR/ANAN/Hermes-Lite radios with panadapter, designed for Raspberry Pi with touchscreen.","Drives the SDR hardware over Ethernet for RX/TX, PTT and CW; can act as a Hamlib server for other apps.",Open-source (GPL),By John Melton G0ORX; popular embedded Flex/ANAN front panel.
Portable SDR (PSDR),SDR,SDR (standalone transceiver),Embedded firmware (STM32),Self-contained handheld SDR transceiver + vector network analyzer,The onboard firmware controls the device's RX/TX front-end and keys transmit directly,Open-source (hardware + firmware),Michael R. Colton's open PSDR project; a fully standalone SDR rather than a PC client.
Portsdown (BATC),SDR,SDR / DATV (transceiver),Raspberry Pi,Raspberry-Pi digital ATV transmit/receive system covering common DATV modes,drives LimeSDR/Pluto TX + MiniTiouner/NIM RX,Open-source,British Amateur TV Club Portsdown 4
Pothos / PothosSDR (Pothos Flow),SDR,SDR (framework),Windows / Linux,Dataflow SDR programming environment and Windows SoapySDR bundle,Controls SoapySDR-supported devices for RX/TX,Open-source,The PothosSDR Windows installer is a common way to get SoapySDR/drivers on Windows.
