Name,Category,Rig Control Backend,How to Set CAT,Audio Device Select,PTT Config,ALC/Power Guidance,Companion Needed,Notes,Verified,Source,Source URL,Source Note
Grig,Rig control core / Remote,Hamlib (direct serial or rigctld),"Launch with Hamlib params, e.g. grig -m <model#> -r <port> -s <baud> (defaults to /dev/ttyS0, or localhost for RPC-rig); a simple GTK front panel to set frequency, mode and PTT. Config is via command-line options, not stored.",n/a (control only),"PTT via Hamlib; disabled by default, enable with -p/--enable-ptt (type follows the Hamlib backend)",n/a (no digital audio path),Hamlib installed (Grig is a thin GUI over it),Minimal GTK rig-control GUI.,confirmed,Grig (Alexandru Csete OZ9AEC) — Features/Docs,https://www.oz9aec.net/software/grig/grig-features,Minor clarification: PTT is off by default and enabled with -p/--enable-ptt.
Ham Radio Deluxe (HRD Rig Control + Remote),Rig control core / Remote,native HRD radio drivers; also acts as a CAT hub and IP-remote server/client,Connect dialog > choose Company + Radio model + COM port + baud (CI-V address for Icom); other apps read the rig through HRD's 3rd-party/virtual interface. HRD Remote runs a server at the radio and a client remotely.,Digital audio via DM-780 (its Soundcard settings) or over HRD Remote's audio companion,"PTT via CAT, or a chosen RTS/DTR pin; DM-780 keys through HRD Rig Control",Set radio power; for digital modes in DM-780 raise TX audio until ALC just moves (keep it low),DM780 (bundled) for digital modes; HRD Logbook for logging; HRD Remote for IP operation,Full suite (Rig Control + Logbook + DM780 + Remote); the rig-control module aims to expose every documented CAT command.,confirmed,Ham Radio Deluxe User Guide — Radio Connection / DM-780,https://support.hamradiodeluxe.com/support/solutions/articles/51000052475,
HamClock,Rig control core / Remote,Hamlib rigctld (or flrig) over the network (reads/sets frequency and mode only),"Run rigctld -m <model> -r <port> -s <baud> on the host; on HamClock Setup page 3 enable the rigctld connection (defaults Host: Localhost, Port: 4532). Clicking a DX-cluster/On-The-Air spot then sends the frequency to the radio's VFO A.",n/a (no audio),n/a (HamClock does not key PTT),n/a,A separately-running Hamlib rigctld daemon,"Info/dashboard display; CAT is an optional convenience feature, not a control console.",confirmed,"HamClock User Guide (Clear Sky Institute, ClearSkyInstitute.com)",https://www.clearskyinstitute.com/ham/HamClock/HamClockKey.pdf,Default rigctld port 4532 confirmed; flrig is also supported as the simple rig-control backend.
Hamlib (rigctl / rigctld / rigctlcom),Rig control core / Remote,itself — the reference CAT/CI-V library; the backend most other apps use,Start the daemon: rigctld -m <model#> -r <port> -s <baud> (serves TCP 4532); rigctl is the interactive/CLI client; rigctlcom emulates a Kenwood TS-2000 on a serial port (needs a com0com/socat virtual pair) so TS-2000-only apps can drive any Hamlib-supported radio.,n/a (control only; apps handle audio),"PTT via -P/--ptt-type: RIG (CAT), RTS, DTR, CM108, GPIO, or PARALLEL",n/a (set drive/ALC in the client digital app or on the radio),"None — it IS the CAT backend for WSJT-X, fldigi, CQRLOG, Gpredict, etc.",'rigctld' TCP 4532 is the network entry point; find your model number with rigctl --list.,confirmed,Hamlib man pages — rigctld / rigctlcom (SourceForge),https://hamlib.sourceforge.net/html/rigctlcom.1.html,rigctld TCP 4532 and rigctlcom TS-2000 emulation confirmed.
Hamlib (rigctl / rigctld),Rig control core / Remote,itself — the Hamlib CAT/CI-V library and its rigctld TCP server,rigctld -m <model#> -r <port> -s <baud> exposes TCP 4532 for other apps; rigctl gives interactive/CLI control of frequency/mode/PTT over serial/USB/network.,n/a (control only),PTT via -P RIG/RTS/DTR/CM108/GPIO,n/a (handled by the client app/radio),None; consumed by WSJT-X/fldigi/CQRLOG/Gpredict as their CAT backend,Duplicate list entry of the Hamlib rigctl/rigctld tooling.,confirmed,Hamlib man page — rigctld (SourceForge),https://hamlib.sourceforge.net/html/rigctld.1.html,Duplicate Hamlib entry; confirmed.
Hamlib / rigctld,Rig control core / Remote,"itself — Hamlib; the CAT/PTT tuning backend behind Gqrx, SDRangel, SDR++, wfview and Gpredict",rigctld -m <model#> -r <port> -s <baud> serves TCP 4532; SDR apps and Gpredict point their 'Hamlib rigctld' host/port at it for frequency/mode/PTT of hundreds of transceivers.,n/a (control only; the SDR/digital app handles audio/IQ),PTT via -P RIG/RTS/DTR/CM108/GPIO,n/a,None; the shared tuning backend for the SDR apps listed,"Same tool as the other Hamlib entries, framed as the SDR-app tuning backend.",confirmed,Hamlib man page — rigctld (SourceForge),https://hamlib.sourceforge.net/html/rigctld.1.html,Duplicate Hamlib entry; confirmed.
IC7100BKT / CatBkt (BktSoftware),Rig control core / Remote,native Icom CI-V (IC7100BKT is IC-7100-specific; CatBkt is a universal CAT engine),Setup/COM > select the COM port + baud + Icom CI-V address; controls frequency/mode/PTT/tuner and accepts direct-frequency input from cluster/DX programs.,Only for the built-in audio-recording feature (PC soundcard); not a modem,PTT via the CI-V/CAT command,n/a (set power/mic on the radio),Icom USB port or a CT-17/CI-V interface,IZ2BKT (Mauro Capelli) software; free/donationware; adds memory/D-STAR/scan management.,confirmed,IZ2BKT / BktSoftware (IC7100BKT / CatBkt),https://www.iz2bkt.com/,Built-in audio-recording feature and CI-V control confirmed.
Icom RS-BA1,Rig control core / Remote,native Icom CI-V plus audio-over-IP (via the Icom Remote Utility server),Remote Utility connects to the radio (USB or LAN) as the server; the RS-BA1 Remote Control app auto-loads the radio + CI-V address and can expose a virtual COM port so loggers see the rig.,Audio is carried over IP by the Remote Utility — pick the PC's playback/recording (speaker/mic) devices and the codec in Remote Utility's audio settings (it creates a virtual audio cable pair per rig),PTT via the RS-BA1 TX button / MOD source setting,Set TX power and mic/data gain on the radio (or in RS-BA1); keep ALC in the radio's normal zone,Icom Remote Utility (server) + a compatible Icom transceiver,Icom's own remote-control package; audio + control + PTT over LAN/Internet.,confirmed,Icom RS-BA1 Instruction Manual,https://icomuk.co.uk/files/icom/PDF/productManual/RS-BA1_manual_ENG_8.pdf,
Icom RS-BA1 (Version 2),Rig control core / Remote,native Icom CI-V plus digital audio-over-IP (Remote Utility server; or direct-LAN for network-capable rigs),"As v1 — Remote Utility hosts the radio (USB/LAN) and the RS-BA1 v2 client selects the rig + CI-V address, with an optional virtual COM for loggers. v2 improves latency/codec and supports network-native Icoms (IC-7610/7300/9700/705).",Over IP via Remote Utility — choose the PC audio devices + codec there,PTT via the RS-BA1 TX button / selected MOD source,Set TX power + mic/data gain on the radio; keep ALC in the normal range,Icom Remote Utility + a compatible Icom rig (some network rigs need no separate server PC),Version 2 of Icom's remote software.,confirmed,Icom RS-BA1 Version 2 Instruction Manual,https://www.icomeurope.com/wp-content/uploads/2022/12/RS-BA1_Ver2_ENG_IM_4.pdf,
Icom RS-R8600,Rig control core / Remote,native Icom CI-V over USB or LAN (receiver control),Connect the IC-R8600 by USB or network; set the CI-V address/network credentials; the app gives full remote tuning/scan plus the spectrum scope.,"Receiver audio over USB/LAN (IP) — select in the app; it is a receiver, no modem role",n/a (IC-R8600 is a receiver),n/a (no transmit),Icom IC-R8600 wideband receiver,Remote-control + scope software for the IC-R8600 receiver.,confirmed,Icom RS-R8600 / IC-R8600 remote control software documentation,https://www.icomjapan.com/,
jAReC,Rig control core / Remote,native/Hamlib-style CAT within a Java app; serves control + bidirectional audio to remote clients,"Choose the rig's CAT connection (serial/USB-serial/Bluetooth/network) + model, and set the server TCP port. Runs as server (at the radio), client, or bridge.",Select the PC capture/playback (soundcard) devices; audio is sent alongside CAT over the network,PTT via the rig's CAT command over the link,Set drive/mic on the radio; keep ALC normal for the mode,PocketRxTx (Android client) at the matching version for full remote+audio; a CAT-capable rig,(j)ava (A)udio and (Re)mote (C)ontrol by YO3GGX; server and client in one.,confirmed,jAReC User Guide (Dan YO3GGX),https://www.yo3ggx.ro/jAReC/v5/doc/jAReC_v5.0_beta1_en.pdf,In v4 audio used the same-numbered UDP port as CAT; from v5 audio + waterfall + CAT all share the single server TCP port (UDP no longer used).
K3NG Rotator Controller,Rig control core / Remote,none — open-source Arduino antenna-rotator controller firmware (speaks Yaesu GS-232A/B or EasyComm over USB serial),No radio CAT. The host tracker (SatPC32/Gpredict/PstRotator/Win-Test) talks the GS-232A/B or EasyComm protocol over the Arduino's USB serial port to command the rotator; you set the port/baud in that host program.,n/a,n/a,n/a,"Arduino + motor-driver hardware, plus a satellite/rotator control program on the PC","Rotator controller firmware, not a transceiver tool.",confirmed,K3NG Rotator Controller Wiki — Software: Computer Interface (GitHub),https://github.com/k3ng/k3ng_rotator_controller/wiki/310-Software:-Computer-Interface,GS-232A/B + EasyComm emulation confirmed.
K4-Control,Rig control core / Remote,"native Elecraft K4 network control, with a built-in CAT server (rigctl/Hamlib + Kenwood/Icom CAT over the network)",Enter the K4's IP address to connect (home or over the Internet); enable K4-Control's built-in CAT server so any network-CAT app (Hamlib/Kenwood/Icom protocol) can share the rig.,Uses the K4's remote/network audio; select devices in the app (macOS/iPadOS),PTT/keying (including CW via USB paddle/keyboard) through the app over the network,Set TX power/drive on the K4; keep ALC normal,An Elecraft K4 (network remote capable); optional CAT client apps,Roskosch macOS/iOS controller for the Elecraft K4.,confirmed,K4-Control for Elecraft (Marcus Roskosch) — Software User Guide,https://documents.roskosch.de/ham-control-elecraft-ios/,
Kenwood ARCP / ARHP / ARVP suite,Rig control core / Remote,native Kenwood CAT (ARCP) + KNS LAN hosting (ARHP) + VoIP audio (ARVP),"ARCP-xxxx > Tool > Setup > select the COM port + baud (USB or RS-232C), or connect to ARHP over the network. For remote, ARHP hosts the rig on the LAN/Internet and the operator runs ARCP + ARVP at the remote end.",ARVP (ARVP-10/10H) carries the audio — select the PC mic/speaker devices in ARVP; the transceiver's ACC2 audio is wired to the host PC sound I/O,PTT via ARCP's CAT command (send/mic),Set TX power + mic/data gain on the radio; keep ALC in the normal zone,ARHP + ARVP for remote operation; a KNS-capable Kenwood (TS-590/TS-990 etc.),"ARCP = Radio Control Program, ARHP = Radio Host Program, ARVP = VoIP audio; together they form Kenwood's remote suite.",confirmed,Kenwood Network Command System (KNS) Setting Manual,https://www.kenwood.com/i/products/info/amateur/ts_590g/pdf/ts590g_kns_manual_en_rev2.pdf,
Kenwood ARCP / ARHP series,Rig control core / Remote,native Kenwood CAT (ARCP) with ARHP for LAN remote hosting,"ARCP > Tool > Setup > COM port + baud, or connect to an ARHP host over the network; controls freq/mode/menus/PTT.",Via ARVP (VoIP companion) for remote audio; local operation uses the radio's own audio,PTT via ARCP's CAT command,Set power + mic/data gain on the radio; keep ALC normal,ARHP for LAN remote (and ARVP for audio); a KNS-capable Kenwood,Duplicate/short form of the Kenwood ARCP/ARHP/ARVP suite entry.,confirmed,Kenwood Network Command System (KNS) Setting Manual,https://www.kenwood.com/i/products/info/amateur/ts_890/pdf/ts890_kns_manual_e.pdf,Same Kenwood ARCP/ARHP/ARVP family as the prior entry.
KX3 Companion,Rig control core / Remote,"native Elecraft CAT over USB-serial (via Android USB-OTG) or Bluetooth — it is an Android app, not a PC/COM utility","On Android, connect the KX3/KX2 via the Elecraft USB serial cable + a USB-OTG adapter (or a Bluetooth serial link) and set the serial baud rate; the app then controls VFO/mode/menus, presets and macros.",n/a — no soundcard path: CW/PSK31/RTTY are done in-app using the KX3's built-in text-mode encoders/decoders over CAT (there is no separate digital-audio application),PTT via the Elecraft CAT command,"Set drive (PWR) on the KX3 (KX3 Companion has power presets); because data modes run as CAT text through the KX3's internal encoders, there is no PC TX-audio level to manage",A serial or Bluetooth link to the KX3/KX2,Third-party utility (macros/memories/logging) for Elecraft KX-series.,corrected,KX3 Companion (Andrea Salvatore IU4APC) — official site,https://kx3companion.com/,"Corrected: KX3 Companion is an Android application (USB-OTG serial or Bluetooth), not a desktop COM-port utility, and it performs CW/PSK31/RTTY itself via the KX3's built-in CAT text data modes — so the original claim that 'digital audio is handled by a separate app' and the ALC-via-audio-level guidance are wrong (no soundcard is involved)."
LP-Bridge,Rig control core / Remote,native Elecraft K3 CAT with virtual-COM fan-out (maintains a mirror K3 and re-exposes multiple virtual K3 ports),"Set the real K3's COM port + baud once in LP-Bridge; it presents several virtual K3 ports (paired via com0com) that each app (LP-PAN/N1MM/DXLab, up to ~5) opens, keeping frequency/mode in sync across all of them.",n/a (control sharing only; LP-PAN's IF audio is set in the panadapter app),PTT commands pass through transparently to the K3,n/a (set on the K3/in the digital app),"An Elecraft K3, com0com virtual serial pairs; commonly used with LP-PAN/NaP3",TelePost CAT splitter so multiple programs share one K3 CAT port.,confirmed,TelePost LP-Bridge (N8LP),http://www.telepostinc.com/LPB.html,
