Manufacturer,Model,Type,Bands,Connection Method,CAT Protocol,Baud,Data Bits,Stop Bits,Parity,Flow Control,CI-V Address,Built-in Sound Card,Recommended Interface,PTT Method,Radio Menu Settings,Cable/Port,Notes,Verified,Source,Source URL,Source Note
Kenwood / Trio,TS-570S / TS-570S(G),HF/6m transceiver,HF 160-10m + 6m,Kenwood serial CAT over the built-in RS-232 (DB9) port using a USB-to-serial cable (no external level converter needed); add a Digirig into ACC2 for digital-mode audio.,Kenwood,9600 (default; selectable up to 57600),8,1,None,RTS/CTS (RTS must be asserted for the radio to reply),n/a,No,USB-to-RS-232 cable + Digirig Mobile (audio via ACC2 13-pin DIN); SignaLink alt.,"CAT (PTT via CAT), or Digirig RTS / ACC2 PTT line","Menu 35 = COM baud (default 9600, up to 57600). Use ACC2 for digital audio; select DATA/PKT as needed.","DB9 RS-232 (rear, built-in) for CAT + ACC2 13-pin DIN for audio","HF/6m version of TS-570. Built-in RS-232, no USB audio codec — use Digirig. Hamlib model 'TS-570S'.",confirmed,Hamlib rig capabilities (ts570.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts570.c,"Confirmed via Hamlib ts570 backend (TS-570S and TS-570D share the config): 1200-57600 baud (default 9600), 8/1/None, hardware handshake."
Kenwood / Trio,TS-590S,HF/6m transceiver,HF 160-10m + 6m,Single USB (Type-B) cable to the PC carries both Kenwood CAT (CP210x virtual COM) and the built-in USB Audio CODEC — no external interface needed.,Kenwood,"Up to 115200 (built-in USB virtual COM; separate COM/DB9 port default 9600, auto-baud detect supported)",8,1,None,None,n/a,Yes (USB Audio CODEC),None (single USB cable),CAT (RTS / CAT PTT),Install Kenwood Virtual COM Port (CP210x) driver. Set CAT baud 115200. Select DATA mode and route TX audio to USB (set USB audio input level).,USB Type-B (one cable),"CHEAT-SHEET CORRECTION: the TS-590S DOES have a built-in USB Audio CODEC (not CAT-only) — CAT + audio run over one USB cable, confirmed by Kenwood's own FT8 setup guide and WSJT-X users. Hamlib 'TS-590S'.",confirmed,Kenwood TS-590S USB Audio Setting Manual + Hamlib ts590.c,https://www.kenwood.com/i/products/info/amateur/ts_590/pdf/ts590_usb_audio_manual_e_rev1.pdf,"Built-in USB Audio CODEC confirmed - Kenwood publishes a dedicated 'TS-590S USB Audio Setting Manual', so a single USB cable carries both CAT and audio. Serial 8/1/None confirmed via Hamlib ts590 (4800-115200, hardware handshake). Note: the separate DB9 COM port defaults to 9600; the USB virtual COM supports up to 115200 and the rig auto-detects baud."
Kenwood / Trio,TS-590SG,HF/6m transceiver,HF 160-10m + 6m,Single USB (Type-B) cable to the PC carries both Kenwood CAT (CP210x virtual COM) and the built-in USB Audio CODEC — no external interface needed.,Kenwood,"Up to 115200 (built-in USB virtual COM; separate COM/DB9 port default 9600, auto-baud detect supported)",8,1,None,None,n/a,Yes (USB Audio CODEC),None (single USB cable),CAT (RTS / CAT PTT),Install Kenwood Virtual COM Port (CP210x) driver. Set CAT baud 115200. Select DATA mode; set USB audio TX/RX levels; TX source = USB.,USB Type-B (one cable),"CHEAT-SHEET CORRECTION: the TS-590SG DOES have a built-in USB Audio CODEC (not CAT-only) — CAT + audio over one USB cable, per Kenwood's FT8 guide and WSJT-X users. Hamlib 'TS-590SG'.",confirmed,Kenwood TS-590SG USB Audio Setting Manual + Hamlib ts590.c,https://www.kenwood.com/i/products/info/amateur/ts_590g/pdf/ts590g_usb_audio_manual_e.pdf,"Built-in USB Audio CODEC confirmed - Kenwood publishes a dedicated 'TS-590SG USB Audio Setting Manual'; one USB cable carries CAT + audio. Serial 8/1/None confirmed via Hamlib ts590 (4800-115200, hardware handshake). USB virtual COM supports up to 115200 with auto baud detect; separate DB9 COM defaults to 9600."
Kenwood / Trio,TS-600,6m all-mode base,6m,No CAT. 6m all-mode base — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch jack,1970s 6m all-mode base; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-60S,6m all-mode mobile,6m,Kenwood serial CAT through an IF-232C level converter (or a modern USB-to-IF-232C cable); for digital-mode audio add a Digirig into the ACC/mic jack.,Kenwood,4800,8,2,None,None,n/a,No,USB-to-IF-232C CAT cable + Digirig Mobile for audio (SignaLink audio alt.),"CAT, or Digirig RTS / ACC PTT line",No software menu; CAT fixed 4800 baud. ACC is TTL-level — needs IF-232C level converter.,6-pin DIN ACC (CAT via IF-232C → RS-232 to PC) + ACC/mic audio,6m all-mode mobile (TS-50 sibling); computer control via IF-232C at 4800 baud. Hamlib model 'TS-60S'.,corrected,"Hamlib rig capabilities (ts50s.c, same IF-232C interface as TS-60S)",https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts50s.c,"Stop bits corrected 1 -> 2. The 6m TS-60S has no dedicated Hamlib backend but shares the IF-232C CAT interface of its HF sibling the TS-50S, which Hamlib specifies as 8 data, 2 stop bits, no parity (default 4800 baud). Older Kenwoods of this generation use 2 stop bits."
Kenwood / Trio,TS-660,Multiband transceiver,21/24.5/28/50 MHz,No CAT. Multiband SSB/CW — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch jack,Multiband (21/24.5/28/50 MHz) transceiver; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-670,QRP multiband transceiver,7/21/28/50 MHz,No CAT. QRP multiband SSB/CW/FM — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch jack,QRP four-band (7/21/28/50 MHz) transceiver; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-680S,HF/6m transceiver,HF 160-10m + 6m,Kenwood serial CAT through an IF-232C level converter (or a modern USB-to-IF-232C cable) on the ACC1 port; for digital-mode audio add a Digirig into the ACC/mic jack.,Kenwood,4800 (factory; 9600 with internal jumper change),8,2,None,None,n/a,No,IF-232C level converter (requires internal IF-10 board) / USB-to-IF-232C CAT cable + Digirig Mobile for audio (SignaLink audio alt.),"CAT, or Digirig RTS / ACC PTT line",No software menu; CAT fixed 4800 baud. Requires IF-232C level converter (ACC1 is TTL-level).,6-pin DIN ACC1 (CAT via IF-232C → RS-232 to PC) + ACC/mic audio,"HF/6m version of TS-140S; computer control via IF-232C at 4800 baud. If no reply, try 2 stop bits. Hamlib model 'TS-680S'.",corrected,Hamlib rig capabilities (ts680.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts680.c,"Stop bits corrected 1 -> 2 (Hamlib ts680 backend source explicitly comments the two-stop-bits setting 'is correct'). Baud is 4800 from factory, 9600 with a jumper change. Uses hardware handshake. Requires internal IF-10 board + IF-232C."
Kenwood / Trio,TS-690S,HF/6m transceiver,HF 160-10m + 6m,Kenwood serial CAT through an IF-232C level converter (or a modern USB-to-IF-232C cable); for digital-mode audio add a Digirig into the ACC2/mic jack.,Kenwood,4800,8,2,None,None,n/a,No,USB-to-IF-232C CAT cable + Digirig Mobile for audio via ACC2 (SignaLink audio alt.),"CAT, or Digirig RTS / ACC2 PTT line",No software menu; CAT fixed 4800 baud. ACC is TTL-level — needs IF-232C level converter.,6-pin DIN (CAT via IF-232C → RS-232 to PC) + ACC2 13-pin DIN for audio,HF/6m version of TS-450; computer control via IF-232C at 4800 baud. Hamlib model 'TS-690S'.,corrected,Hamlib rig capabilities (ts690.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts690.c,"Stop bits corrected 1 -> 2 (Hamlib ts690 backend: fixed 4800 baud, 8/2/None, hardware handshake). HF+6m sibling of the TS-450S. Hardware flow control (RTS/CTS) required."
Kenwood / Trio,TS-700 / TS-700A,2m all-mode base,2m,No CAT. 2m all-mode base — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch jack,1970s 2m all-mode base station; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-700S / TS-700SP,2m all-mode base,2m,No CAT. 2m all-mode base — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch jack,1970s 2m all-mode base station; no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-711A / TS-711E,2m all-mode base,2m,Kenwood serial CAT through an IF-232C level converter (with the internal IF-10 board fitted); for digital-mode audio add a Digirig into the ACC/mic jack.,Kenwood,4800 (fixed),8,2,None,None,n/a,No,USB-to-IF-232C CAT cable + Digirig Mobile for audio (SignaLink audio alt.),"CAT, or Digirig RTS / ACC PTT line",No software menu; CAT fixed 4800 baud. Requires internal IF-10 interface board + IF-232C level converter.,ACC / DIN (CAT via IF-232C → RS-232 to PC) + ACC/mic audio,"2m all-mode base — SSB/CW/FM digital OK, with computer control via IF-232C. Hamlib model 'TS-711'.",corrected,Hamlib rig capabilities (ts711.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts711.c,"Stop bits corrected 1 -> 2 (Hamlib ts711 backend: fixed 4800 baud, 8/2/None, hardware handshake). This 2m all-mode requires the IF-232C and uses hardware flow control (RTS/CTS)."
Kenwood / Trio,TS-770 / TS-770E,2m/70cm all-mode base,2m/70cm,No CAT. 2m/70cm all-mode base — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch jack,1980 2m/70cm all-mode base; predates CAT — no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-780,2m/70cm all-mode base,2m/70cm,No CAT. 2m/70cm all-mode base — digital via an outboard sound-card interface into the mic/patch jack; PTT by VOX or interface keying. Frequency set manually.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile + mic/patch cable (SignaLink alt.),VOX or interface RTS keying / mic PTT line,None (no CAT); tune manually.,Mic connector + phone-patch jack,Early-1980s 2m/70cm all-mode base; predates CAT — no computer control.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-790A / TS-790E,2m/70cm all-mode base,2m/70cm (opt 23cm),Kenwood serial CAT through an IF-232C level converter (with the internal IF-10 board fitted); for digital-mode audio add a Digirig into the ACC/mic jack.,Kenwood,4800 (fixed),8,2,None,None,n/a,No,USB-to-IF-232C CAT cable + Digirig Mobile for audio (SignaLink audio alt.),"CAT, or Digirig RTS / ACC PTT line",No software menu; CAT fixed 4800 baud. Requires internal IF-10 interface board + IF-232C level converter.,ACC / DIN (CAT via IF-232C → RS-232 to PC) + ACC/mic audio,"2m/70cm all-mode base (optional 23cm) — SSB/CW/FM digital OK, with computer control via IF-232C. Hamlib model 'TS-790'.",corrected,Hamlib rig capabilities (ts790.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts790.c,"Stop bits corrected 1 -> 2 (Hamlib ts790 backend: fixed 4800 baud, 8/2/None, hardware handshake). VHF/UHF all-mode; requires IF-232C and hardware flow control (RTS/CTS)."
Kenwood / Trio,TS-811A / TS-811E,70cm all-mode base,70cm,Kenwood serial CAT through an IF-232C level converter (with the internal IF-10 board fitted); for digital-mode audio add a Digirig into the ACC/mic jack.,Kenwood,4800 (fixed),8,2,None,None,n/a,No,USB-to-IF-232C CAT cable + Digirig Mobile for audio (SignaLink audio alt.),"CAT, or Digirig RTS / ACC PTT line",No software menu; CAT fixed 4800 baud. Requires internal IF-10 interface board + IF-232C level converter.,ACC / DIN (CAT via IF-232C → RS-232 to PC) + ACC/mic audio,"70cm all-mode base — SSB/CW/FM digital OK, with computer control via IF-232C. Hamlib model 'TS-811'.",corrected,Hamlib rig capabilities (ts811.c),https://github.com/Hamlib/Hamlib/blob/master/rigs/kenwood/ts811.c,"Stop bits corrected 1 -> 2 (Hamlib ts811 backend: fixed 4800 baud, 8/2/None, hardware handshake). 70cm all-mode sibling of the TS-711; requires IF-232C and hardware flow control (RTS/CTS)."
Kenwood / Trio,TS-820 / TS-820S,HF transceiver,HF 160-10m,"No CAT (1970s analog rig, no serial port). For digital modes feed a sound-card interface into the mic/accessory jack; tune manually.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile (or SignaLink) into the mic/ACC jack; audio-only,VOX or interface RTS keying into the PTT line,None; set frequency manually on the dial/VFO,Mic jack + rear ACC/phone-patch for RX audio; no data port,"Vintage hybrid HF transceiver, no computer control. Frequency set manually. Optional external DG-1 digital display does not add CAT.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-830S / TS-830M,HF transceiver,HF 160-10m + WARC,"No CAT (analog hybrid rig, no serial port). Digital modes via a sound-card interface to the mic/ACC jack; tune manually.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile (or SignaLink) into the mic/ACC jack; audio-only,VOX or interface RTS keying into the PTT line,None; set frequency manually on the dial/VFO,Mic jack + rear ACC socket for audio; no data port,"Vintage HF transceiver, no computer control; frequency set manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Kenwood / Trio,TS-850S,HF transceiver,HF 160-10m + WARC,Kenwood CAT via the ACC-1 6-pin DIN (TTL) through an IF-232C level converter (or an FTDI 'IF-232C' USB cable) to a PC; digital audio via a separate sound-card interface on ACC-2.,Kenwood,4800 (fixed),8,2,None,None,n/a,No,IF-232C / FTDI-IF-232C USB cable for CAT (TTL level) + Digirig Mobile (SignaLink alt.) on ACC-2 for audio,CAT (TX/RX command) or Digirig RTS via ACC-2,"No baud menu (fixed 4800, 8-N-2). Enable data/AFSK mode; take/insert audio at ACC-2.","ACC-1 6-pin DIN (TTL serial, needs IF-232C) + ACC-2 13-pin DIN for audio","Serial is TTL level, so an IF-232C (or FTDI equivalent) is required. Uses 2 stop bits.",confirmed,DXLab Kenwood CAT wiki + TS-850 external-control doc,https://www.dxlabsuite.com/dxlabwiki/TranceiverControlKenwood,"Confirmed: 4800 bps, 8 data bits, 2 stop bits, no parity per the TS-850 external-control spec and DXLab. Baud is effectively fixed at 4800 (there is no user-selectable 1200 on the TS-850S); the '2 stop bits' is correct and notable."
Kenwood / Trio,TS-870S,HF transceiver,HF 160-10m + WARC,Direct Kenwood CAT through the built-in 9-pin RS-232C COM port (no IF-232C) to a PC serial or USB-serial adapter; digital audio via a sound-card interface on ACC-2.,Kenwood,4800 default (menu-selectable 4800 or 57600),8,1 (4800 selectable 1 or 2; use 2 for Kenwood-to-Kenwood),None,None,n/a,No,None for CAT (built-in RS-232C DB9); Digirig Mobile (SignaLink alt.) on ACC-2 for audio,CAT (PC-to-TX command) or Digirig RTS via ACC-2,"Set COM baud in menu (default 4800, up to 57600); select data/AFSK mode; route audio via ACC-2 13-pin DIN.",Built-in DB-9 RS-232C COM + ACC-2 13-pin DIN for audio,"First Kenwood HF with a built-in RS-232C port; DSP rig but no USB audio codec, so a separate audio interface is still needed.",confirmed,Kenwood TS-870S Instruction Manual,https://www.manualslib.com/manual/257862/Kenwood-Ts-870s.html,"Confirmed. TS-870S manual: built-in RS-232C, 1 start/8 data/1 stop, 4800 or 57600 bps; at 4800 you may pick 1 or 2 stop bits, and 4800/2 is required when transferring to/from other Kenwood rigs."
